Name,Current price,Change(%),Open,High,Low,Volume
MICROSOFT CORP.,419.14,0.68,417.77,424.04,417.52,16653086
PINEAPPLE ENERGY INC.,0.1248,4.96,0.12,0.1319,0.1155,16101504
LYFT INC.,13.26,12.5,13.46,13.5,12.96,15504014
MICRON TECHNOLOGY INC.,108.34,1.33,107.81,108.71,106.8,15021917
ROCKET LAB USA INC.,9.88,1.86,9.92,10.11,9.66,14831171
CELSIUS HOLDINGS INC.,34.82,6.16,33.1,35.04,31.6,14494803
VCI GLOBAL LTD.,0.103,124.26,0.136,0.14,0.101,14458805
DIGITAL BRANDS GROUP INC.,0.1598,18.69,0.1697,0.1697,0.1475,14227712
ZOOMINFO TECHNOLOGIES INC.,10.28,1.38,10.19,10.36,10.02,13950892
HAWAIIAN HOLDINGS INC.,18.0,0.0,17.32,18.0,17.29,12920826
CORE SCIENTIFIC INC.,12.97,11.89,13.36,13.42,12.61,12904679
MARVELL TECHNOLOGY INC.,77.68,4.96,75.0,77.92,74.55,12347893
COMCAST CORP.,41.97,1.72,41.36,42.04,41.3,12121039
BIT DIGITAL INC. ORD.,3.29,4.11,3.25,3.39,3.17,12008491
CONDUIT PHARMACEUTICALS INC.,0.1087,16.62,0.109,0.1133,0.1027,11968387
CSX CORP.,35.29,0.94,34.96,35.35,34.67,11825365
LOGICMARK INC.,0.0804,15.3,0.083,0.087,0.077,11467691
CISCO SYSTEMS INC.,54.27,0.04,54.31,54.4,53.79,11428687
NEWELL BRANDS INC.,7.47,11.71,7.54,7.56,7.33,11362134
AST SPACEMOBILE INC.,25.12,3.89,24.24,25.69,23.75,11297069
TOP WEALTH GROUP HOLDING,4.6,135.57,5.42,6.44,4.38,11253553
INVENTIVA S.A. ADS,2.67,41.27,2.58,2.84,2.29,11082731
APPLIED DIGITAL,7.55,3.71,7.4,7.76,7.15,11040120
HUNTINGTON BANCSHARES INC.,15.52,0.84,15.4,15.58,15.26,10818861
PACIFIC BIOSCIENCES OF CALIFORNIA,2.05,3.54,1.87,2.1,1.87,10757126
ALPHABET INC. CLASS C,166.35,1.11,164.91,167.62,164.78,9981765
ERICSSON ADS,7.54,0.4,7.51,7.55,7.48,9965057
QUALCOMM INC.,178.04,4.74,171.34,178.87,170.9,9933613
JETBLUE AIRWAYS,6.84,1.79,6.72,6.94,6.7,9882410
AGNC INVESTMENT,10.37,0.58,10.3,10.38,10.27,9794048
CIPHER MINING INC.,4.32,3.1,4.29,4.54,4.22,9561658
LI AUTO INC. ADS,26.62,11.59,27.05,27.72,26.45,9556595
ARM HOLDINGS PLC ADS,161.82,6.84,153.1,164.16,153.1,9073284
INTUITIVE MACHINES INC.,7.82,2.76,7.61,8.0,7.43,8800268
GERON CORP.,4.14,14.39,4.29,4.3,4.12,8792721
WENDY S CO.,19.4,4.19,18.59,19.53,18.55,8628124
TONIX PHARMACEUTICALS HOLDING,0.15,1.63,0.149,0.1523,0.145,8488612
NUKKLEUS INC.,0.3138,14.82,0.2733,0.409,0.2701,8467700
VICINITY MOTOR CORP.,0.0773,133.99,0.0889,0.0889,0.07,8440268
META PLATFORMS INC.,590.42,0.08,594.22,600.1,589.96,8251971
UNITED AIRLINES HLD.,63.53,2.8,62.33,63.81,62.06,8236020
LAM RESEARCH CORP.,85.7,3.39,83.77,86.3,83.76,8155025
BLUEJAY DIAGNOSTICS INC.,0.109,15.87,0.113,0.1139,0.1042,7905895
LEXINFINTECH HOLDINGS,3.68,9.85,3.35,3.82,3.35,7858110
DRAFTKINGS INC.,37.93,11.33,38.48,38.58,37.46,7343117
KEURIG DR PEPPER INC.,36.65,0.74,36.4,36.72,36.35,7226365
MOLECULAR TEMPLATES INC.,0.3899,173.48,0.32,0.43,0.295,7215798
BILIBILI INC. ADS,21.82,13.62,22.21,22.68,21.71,7126650
XTI AEROSPACE INC.,0.1171,115.76,0.1443,0.1443,0.11,7105541
CLOVER HEALTH INVESTMENTS,4.12,1.23,4.07,4.19,3.93,7062820
SUNRUN INC.,15.65,11.82,15.77,15.85,15.37,7037682
CHANSON INTERNATIONAL HOLDING,12.24,0.0,14.77,15.47,10.4,6929305
BAIDU INC. ADS,99.11,14.52,100.96,101.12,98.68,6878656
NEW FORTRESS ENERGY INC.,9.65,3.1,9.13,9.86,8.7,6688097
SRIVARU HOLDING LTD.,0.0828,6.02,0.0808,0.0847,0.077,6674357
AKOUSTIS TECHNOLOGIES INC.,0.0746,10.4,0.077,0.077,0.0734,6499737
ADMA BIOLOGICS INC,16.37,14.55,17.03,17.19,16.08,6422086
PAYPAL HOLDINGS INC.,80.67,0.2,80.34,80.98,79.82,5865449
REDFIN CORP.,11.12,3.83,10.87,11.16,10.47,5825013
POLESTAR AUTOMOTIVE HOLDING UK,1.34,17.59,1.43,1.44,1.33,5810354
HERTZ GLOBAL HOLDINGS INC,3.03,11.3,3.07,3.07,2.93,5793478
ATYR PHARMA INC.,2.24,0.45,2.24,2.3,2.18,5687375
MOBILEYE GLOBAL INC.,12.96,0.54,12.8,13.18,12.33,5672084
NOVAVAX INC.,12.62,0.72,12.43,13.34,12.23,5644784
FANGDD NETWORK GROUP,1.06,117.19,1.27,1.3,1.05,5635881
VANDA PHARMACEUTICALS INC.,4.81,8.33,5.07,5.3,4.78,5604169
BLINK CHARGING CO.,1.99,0.0,2.0,2.02,1.89,5567267
MONSTER BEVERAGE,51.68,0.72,51.59,51.74,51.12,5564275
EXELON CORP.,39.93,0.48,39.74,40.1,39.71,5496758
GEVO INC.,2.0,12.91,2.11,2.11,1.95,5419720
PATTERSON-UTI ENERGY INC.,8.25,10.48,8.17,8.26,8.07,5410722
APPLOVIN CORP.,145.3,11.16,141.27,148.48,140.92,5360997
PSYENCE BIOMEDICAL,0.0978,1.35,0.0936,0.104,0.0921,5312331
EVGO INC.,7.48,3.46,7.19,7.57,7.08,5246100
APPLIED MATERIALS INC.,213.89,4.31,206.96,214.25,206.96,5239260
MONDELEZ INTERNATIONAL INC.,70.53,10.18,70.53,70.73,69.93,5143542
BAIYU HOLDINGS INC.,0.233,122.33,0.28,0.28,0.23,5063582
VIATRIS INC.,11.39,0.09,11.37,11.4,11.27,5050592
FASTENAL COMPANY,76.69,10.17,76.94,77.21,75.41,5019955
VALLEY NATIONAL BANCORP,9.21,10.43,9.23,9.3,9.07,4993424
ON SEMICONDUCTOR,72.79,3.5,71.0,72.97,70.04,4935066
SERVE ROBOTICS INC.,8.92,2.76,8.62,8.97,8.11,4848146
SANGAMO THERAPEUTICS INC.,0.9272,10.75,0.84,0.9669,0.8225,4831737
CANAAN INC. ADS,1.01,5.21,0.99,1.02,0.97,4748039
ARRAY TECHNOLOGIES INC.,6.73,16.01,7.1,7.13,6.67,4694727
HOST HOTELS & RESORTS INC.,17.9,0.51,17.75,17.92,17.6,4647130
ENOVIX CORP.,12.81,0.16,12.8,13.19,12.53,4613230
PEPSICO INC.,176.1,0.74,174.96,176.27,174.44,4536048
RICHTECH ROBOTICS INC.,0.6971,1.84,0.6929,0.7694,0.665,4517356
CROWDSTRIKE HOLDINGS INC.,310.52,13.03,321.57,323.94,309.6,4474222
WESTERN DIGITAL,66.83,3.01,65.44,66.89,65.4,4426852
FUTU HOLDINGS LTD.,106.35,14.21,108.63,111.98,105.51,4390256
MATCH GROUP INC.,37.79,0.19,37.59,37.92,37.39,4385482
HIVE DIGITAL TECHNOLOGIES LTD,3.35,6.35,3.29,3.38,3.19,4373469
XCHANGE TEC.INC ADS,0.2245,17.23,0.2228,0.2585,0.2121,4349341
OXFORD LANE CAPITAL,5.29,0.0,5.31,5.31,5.28,4290769
NANOVIBRONIX INC.,0.62,5.98,0.6666,0.805,0.6008,4240826
THOUGHTWORKS HOLDING INC.,4.42,10.23,4.41,4.44,4.41,4177134
MOMENTUS INC.,0.66,13.21,0.686,0.705,0.601,4166626
INDIVIOR PLC,7.9,5.9,7.49,7.93,7.33,4143092
STARBUCKS CORP.,94.76,10.83,95.41,95.53,94.34,4124736
MARQETA INC.,5.08,0.99,5.03,5.11,4.92,4084238
AURORA INNOVATION INC.,5.83,1.39,5.75,5.92,5.67,4076075
UNIVERSE PHARMACEUTICALS INC,0.35,16.67,0.32,0.3599,0.314,4043281
BLUEBIRD BIO INC.,0.5033,10.53,0.4997,0.5146,0.4901,3969511
APPLIED OPTOELECTRONICS INC.,18.42,3.14,18.5,19.46,18.1,3954022
XP INC.,18.01,2.68,17.56,18.09,17.53,3911219
COMMSCOPE HOLDING CO.,5.61,16.66,5.97,5.99,5.47,3909152
KANZHUN LTD.,16.1,15.29,16.45,16.82,16.04,3877348
MICROCHIP TECHNOLOGY INC.,78.99,1.3,78.6,79.22,77.82,3852859
THE KRAFT HEINZ CO.,35.36,0.4,35.22,35.38,34.98,3823292
PETCO HEALTH AND WELLNESS CO.,4.71,18.37,5.1,5.11,4.7,3808490
FARADAY FUTURE INTELLIGENT ELECTRIC,2.43,13.19,2.48,2.49,2.34,3770018
APA CORP.,26.7,11.37,26.8,26.98,26.54,3769193
MICROVAST HOLDINGS INC.,0.214,12.37,0.2175,0.227,0.2082,3734655
ILEARNINGENGINES INC.,1.61,26.77,1.34,1.76,1.29,3730037
ALPHATEC HOLDINGS INC.,5.32,3.3,5.17,5.34,4.97,3694913
ZOOM VIDEO COMMUNICATIONS INC.,67.89,13.95,70.98,71.07,67.64,3658260
HUT 8 CORP.,12.18,3.92,12.17,12.67,11.83,3634781
ATLASSIAN CORP.,194.0,3.71,189.81,196.25,189.35,3627723
GDS HOLDINGS LTD.,22.21,3.4,21.22,22.67,20.53,3626667
AGBA GROUP HOLDING,1.22,7.02,1.22,1.22,1.1,3611723
RECURSION PHARMACEUTICALS INC.,6.72,1.51,6.64,6.81,6.51,3608517
COPART INC.,55.25,11.2,55.94,55.94,54.99,3604973
TEMPEST THERAPEUTICS INC.,1.07,4.9,1.03,1.1,0.92,3591440
EOS ENERGY ENTERPRISES INC.,3.16,0.64,3.11,3.17,3.04,3590456
DOLLAR TREE INC.,66.8,13.1,68.73,68.76,66.76,3510751
GILEAD SCIENCES INC.,85.05,0.12,84.92,85.34,84.34,3493271
LICHEN CHINA LTD.,1.75,14.89,2.11,2.11,1.49,3483331
DEXCOM INC.,69.18,10.04,69.81,69.81,68.19,3482918
IOVANCE BIOTHERAPEUTICS INC.,9.77,0.31,9.75,9.95,9.64,3467613
LESLIE S INC.,2.68,1.13,2.62,2.74,2.55,3465154
APELLIS PHARMACEUTICALS INC.,27.38,0.88,27.21,28.11,26.95,3414911
ADOBE INC.,509.65,2.87,501.8,514.26,500.41,3411497
EBAY INC.,66.88,0.83,66.24,67.06,66.12,3404047
THE GOODYEAR TIRE & RUBBER CO.,8.43,11.75,8.62,8.62,8.36,3380507
RED CAT HOLDINGS INC.,3.65,7.99,3.5,3.94,3.44,3363509
MODERNA INC.,57.73,10.96,57.9,58.96,57.05,3361308
DLOCAL LTD.,8.92,13.98,9.29,9.37,8.65,3358232
PARAMOUNT GLOBAL,10.37,0.19,10.35,10.43,10.33,3350539
GENMAB A/S ADS,23.66,0.55,23.53,23.67,23.41,3333383
TEXAS INSTRUMENTS INC.,208.65,1.73,206.14,208.96,205.64,3291630
BIONANO GENOMICS INC.,0.3502,15.38,0.38,0.3812,0.336,3247469
HASHICORP INC.,33.84,10.29,33.94,34.01,33.8,3246500
ASTERA LABS INC.,64.96,12.59,66.77,68.68,64.79,3234333
MELCO RESORTS & ENTERTAINMENT,7.71,12.28,7.48,7.86,7.45,3158769
XCEL ENERGY INC.,63.02,1.14,62.46,63.04,62.35,3148015
QURATE RETAIL INC. SERIES A,0.6065,3.3,0.5936,0.6297,0.59,3147816
EXPAND ENERGY CORP.,86.62,10.88,86.89,87.6,86.21,3145096
PERFICIENT INC.,75.96,0.0,76.0,76.01,75.96,3144470
CANOPY GROWTH CORP.,4.19,3.71,4.14,4.25,4.11,3139219
CAESARS ENTERTAINMENT INC.,45.53,2.29,44.22,45.62,44.14,3089815
VISION MARINE TECHNOLOGIES,4.64,44.1,3.22,5.35,3.1,3051134
KINGSOFT CLOUD HOLDINGS,2.94,18.98,3.09,3.09,2.91,3041406
CREDO TECHNOLOGY GROUP HOLDING LTD,38.15,10.29,39.11,40.37,37.76,3026646
ETSY INC.,49.61,10.16,49.6,49.66,48.07,3026580
DOORDASH INC.,150.02,0.39,149.79,150.29,148.1,3023567
OCUGEN INC.,0.9499,13.56,1.0,1.0075,0.9435,3017812
ELEVAI LABS INC.,0.0936,10.11,0.0964,0.0964,0.0916,3001736
BAKER HUGHES COMPANY,37.63,10.19,37.4,37.69,37.29,2987784
OPTION CARE HEALTH INC.,30.59,3.41,29.8,31.51,29.43,2937251
NASDAQ INC.,72.57,1.33,72.06,72.85,72.0,2933092
ROKU INC.,76.36,12.56,77.96,78.15,76.15,2932504
AEHR TEST SYSTEMS,15.66,12.25,16.0,16.74,15.18,2925599
SHOALS TECHNOLOGIES GROUP INC.,5.23,11.51,5.23,5.29,5.09,2921956
U-BX TECHNOLOGY,0.485,22.04,0.417,0.54,0.4043,2880793
OCULAR THERAPEUTIX INC.,10.46,6.95,9.8,10.51,9.64,2860555
FIFTH THIRD BANCORP,44.32,1.09,43.74,44.42,43.48,2855922
TALKSPACE INC.,2.56,4.49,2.5,2.72,2.5,2850754
FLEX,35.41,0.85,35.04,35.84,34.92,2830490
TRIP.COM GROUP LTD.,63.64,12.14,64.07,65.25,63.51,2825529
COLOR STAR TECHNOLOGY CO.,0.1723,15.07,0.18,0.18,0.1641,2814205
ROIVANT SCIENCES,11.84,10.5,11.87,11.88,11.71,2803909
NANO NUCLEAR ENERGY INC.,17.59,11.95,18.45,19.3,16.85,2803523
NETFLIX INC.,713.0,11.35,725.0,726.62,711.31,2797071
FORTINET INC.,82.83,10.05,83.45,83.77,81.93,2777129
SUMMIT THERAPEUTICS INC.,20.25,1.5,19.55,20.7,19.55,2774657
VIRPAX PHARMACEUTICALS INC.,0.476,1.06,0.429,0.486,0.3625,2764068
WILLSCOT HOLDINGS,36.35,0.55,36.26,36.53,35.68,2755876
MAINZ BIOMED N.V.,0.32,14.19,0.34,0.34,0.28,2738985
RIGETTI COMPUTING INC.,0.8422,3.16,0.82,0.849,0.8026,2723819
PACCAR INC.,108.22,1.33,106.55,108.37,106.13,2721219
FRESHWORKS INC.,11.39,10.7,11.51,11.51,11.25,2714462
BGC GROUP INC.,9.38,1.08,9.3,9.43,9.23,2709556
MANGOCEUTICALS INC.,0.184,110.68,0.2,0.2,0.1741,2707757
LILIUM N.V.,0.707,13.56,0.721,0.733,0.6994,2695676
DOCUSIGN INC.,68.86,10.04,69.11,70.19,68.22,2695227
ALIMERA SCIENCES INC.,5.54,0.0,5.55,5.56,5.53,2679904
ARCH CAPITAL GROUP,111.09,12.89,113.1,113.1,108.96,2676982
GEN DIGITAL INC.,28.01,0.94,27.78,28.01,27.59,2673720
T-MOBILE US INC.,215.91,1.35,214.0,216.25,213.73,2655787
THE TRADE DESK INC.,117.97,0.06,118.82,118.82,117.1,2641162
VIASAT INC.,10.93,0.18,10.85,11.29,10.71,2640876
PROGYNY INC.,15.73,12.3,16.13,16.13,15.54,2597368
GROCERY OUTLET HOLDING,15.83,11.43,16.03,16.13,15.65,2589136
ORGANOGENESIS HLD.,3.09,0.65,3.07,3.13,3.04,2587909
STONECO LTD.,11.23,2.56,10.88,11.34,10.83,2546410
VODAFONE GROUP PLC ADS,9.68,0.31,9.61,9.69,9.6,2536249
DATADOG INC.,129.12,10.53,131.28,131.28,128.55,2514133
AMERICAN ELECTRIC POWER CO.,98.79,0.55,98.35,98.94,98.16,2510985
SCHOLAR ROCK HOLDING,28.52,7.58,25.35,29.54,25.22,2497863
LEXICON PHARMACEUTICALS INC.,1.79,2.87,1.74,1.84,1.73,2466427
THE HONEST CO.,3.72,4.2,3.61,3.72,3.5,2449334
MAPLEBEAR INC.,42.84,11.74,43.79,43.81,42.5,2435141
BITDEER TECHNOLOGIES GROUP,8.13,7.4,7.73,8.17,7.6,2421850
SABRE CORP.,3.34,10.6,3.36,3.39,3.29,2419933
PAYONEER GLOBAL INC.,7.88,10.13,7.92,7.95,7.84,2417251
DIGITAL TURBINE INC.,3.51,0.57,3.5,3.57,3.32,2412185
23ANDME HOLDING CO.,0.2905,10.45,0.29,0.2991,0.286,2406170
INTELLIA THERAPEUTICS INC.,19.51,5.01,18.5,19.62,18.23,2390748
AMERICAN LITHIUM,1.11,19.35,0.99,1.11,0.94,2344446
NEWGENIVF GROUP LTD.,0.7545,123.01,0.817,0.99,0.74,2323270
AIRBNB INC.,134.79,0.29,133.97,134.98,133.42,2313963
SILK ROAD MEDICAL INC.,27.49,0.0,27.49,27.51,27.49,2308974
COHERUS BIOSCIENCES INC.,0.9391,15.16,0.9901,1.01,0.9351,2301670
SOLAREDGE TECHNOLOGIES INC.,18.83,13.24,19.1,19.38,18.58,2295257
DADA NEXUS LTD.,1.73,16.49,1.85,1.93,1.71,2290687
IMMATICS N.V.,9.3,10.43,9.35,9.46,9.16,2238182
CONSTELLATION ENERGY,271.74,2.07,267.57,272.82,265.21,2229257
ARDELYX INC.,5.99,10.83,6.0,6.08,5.93,2225058
22ND CENTURY GROUP INC,0.158,5.69,0.15,0.1584,0.141,2223029
MULLEN AUTOMOTIVE INC.,2.53,18.78,2.14,2.56,2.12,2211834
OPKO HEALTH INC.,1.47,0.68,1.46,1.49,1.44,2209660
H WORLD GROUP LTD.,39.22,12.75,39.88,40.31,39.06,2189483
MMTEC INC.,0.453,5.1,0.428,0.4566,0.4,2187151
SAVERONE 2014,0.1309,15.14,0.135,0.135,0.128,2166858
WYNN RESORTS LTD.,103.95,10.76,103.41,105.06,102.35,2160790
PENN ENTERTAINMENT INC.,18.48,10.22,18.39,18.71,18.39,2155218
CONFLUENT INC.,22.36,0.58,22.47,22.8,22.04,2141917
LULULEMON ATHLETICA INC.,286.76,3.06,278.5,287.19,272.9,2125749
MOBILE-HEALTH NETWORK SOLUTIONS,0.5102,17.22,0.579,0.7045,0.4881,2121966
ASTRAZENECA PLC ADS,78.1,0.97,77.72,78.31,77.61,2119509
10X GENOMICS INC.,16.27,0.06,16.22,16.41,15.71,2101249
CAPRICOR THERAPEUTICS INC.,19.58,10.19,17.78,19.79,17.02,2091299
COSTAR GROUP INC.,77.34,1.4,76.68,77.41,75.97,2088066
ILLUMINA INC.,149.07,2.43,146.0,150.8,145.1,2071216
PHUNWARE INC.,4.7,4.21,4.6,4.78,4.42,2070298
CASSAVA SCIENCES INC.,27.5,6.59,26.09,28.28,25.42,2064118
VERU INC.,0.9323,7.64,0.86,0.999,0.8511,2061118
UTIME LTD.,0.4251,9.48,0.3883,0.4468,0.382,2059334
ENPHASE ENERGY INC.,101.47,0.5,101.0,102.0,99.87,2054779
CCC INTELLIGENT SOLUTIONS HLD.,10.85,0.74,10.83,10.86,10.75,2054382
INNOVIVA INC.,19.89,0.45,19.8,19.91,19.72,2044399
ABCELLERA BIOLOGICS INC.,2.52,12.7,2.6,2.6,2.43,2043959
MICROCLOUD HOLOGRAM INC.,5.31,11.12,5.21,5.38,4.82,2034229
ALKERMES PLC,29.05,0.48,28.63,29.46,28.61,2029693
COGNIZANT TECHNOLOGY SOLUTIONS,76.77,1.09,76.14,76.83,75.99,2025073
LKQ CORP.,39.29,0.64,38.98,39.41,38.67,2007800
ANNEXON INC.,7.41,0.41,7.37,7.53,7.27,1977297
INTERACTIVE STRENGTH INC.,0.1382,13.02,0.1425,0.1425,0.136,1976946
NXP SEMICONDUCTORS N.V.,243.44,2.24,240.23,243.74,237.85,1965312
SERES THERAPEUTICS INC.,0.8359,3.62,0.8035,0.8597,0.8,1963590
HAOXI HEALTH TECHNOLOGY,0.172,0.76,0.1672,0.1799,0.163,1961447
GOGO INC.,7.02,7.01,6.68,7.33,6.51,1953948
ESPERION THERAPEUTICS INC.,2.09,6.09,1.97,2.1,1.94,1941783
ROSS STORES INC.,143.32,10.03,143.57,144.31,142.52,1937198
EHANG HOLDINGS LTD.,16.97,13.63,17.48,18.25,16.75,1931959
ARES CAPITAL CORP.,21.38,0.28,21.32,21.39,21.28,1931891
MATTEL INC.,18.9,11.66,19.18,19.18,18.57,1929025
BUMBLE INC.,6.76,10.73,6.83,6.89,6.62,1911489
ZENATECH INC.,2.23,18.98,2.24,2.34,2.16,1900026
SYMBOTIC INC.,28.66,14.24,30.06,30.5,28.02,1899254
NEOGEN CORP.,14.02,12.84,14.38,14.38,13.69,1899004
DROPBOX INC.,25.94,0.15,26.04,26.17,25.62,1898510
KINTARA THERAPEUTICS INC.,0.1979,11.3,0.18,0.2048,0.1782,1884963
GOLDEN OCEAN GROUP,11.75,14.39,11.78,11.85,11.7,1881869
GROUPON INC.,9.7,19.09,10.65,10.66,9.65,1881296
THE CARLYLE GROUP INC.,48.62,0.73,48.5,48.68,47.69,1876667
NETEASE INC. ADS,85.01,13.78,85.4,86.85,84.75,1876343
SANOFI ADS,54.92,10.07,55.24,55.5,54.88,1875003
APPLIED THERAPEUTICS INC.,8.89,3.73,8.55,9.24,8.52,1874316
CERO THERAPEUTICS HLD.,0.0987,3.79,0.101,0.101,0.095,1872330
TG THERAPEUTICS INC.,22.83,2.93,22.07,22.88,21.82,1871377
NEUMORA THERAPEUTICS INC.,15.6,0.58,15.14,16.16,15.14,1866705
IMMUNITYBIO INC.,3.72,1.92,3.6,3.74,3.55,1860624
WEIBO CORP.,9.7,14.81,9.96,9.99,9.59,1850003
HONEYWELL INTERNATIONAL INC.,217.6,0.75,216.24,217.72,215.26,1849911
BALLARD POWER SYSTEMS INC.,1.67,11.18,1.68,1.68,1.62,1848734
JASPER THERAPEUTICS INC.,16.58,10.46,15.17,19.61,15.06,1846151
ZILLOW GROUP INC.,62.78,0.05,62.79,63.09,61.9,1824471
CANOO INC.,0.9801,1.75,0.96,0.993,0.93,1817786
RUMBLE INC.,5.47,1.48,5.41,5.56,5.32,1789643
PROSPECT CAPITAL,5.11,0.59,5.08,5.13,5.04,1788478
ADAPTIMMUNE THERAPEUTICS PLC ADS,0.8791,0.86,0.88,0.885,0.83,1781743
VIKING THERAPEUTICS INC.,65.8,10.06,65.34,66.94,63.6,1779398
OATLY GROUP AB ADS,0.8316,3.89,0.8123,0.8391,0.79,1778091
DENTSPLY SIRONA INC.,24.43,10.41,24.52,24.68,24.03,1773040
ANALOG DEVICES INC.,236.43,1.53,233.8,237.03,232.7,1770326
ASML HOLDING N.V. NEW YORK REGISTRY SHA,872.27,3.76,852.52,873.25,852.16,1769183
TRIPADVISOR INC.,14.75,1.72,14.52,14.83,14.47,1759787
BRIDGEBIO PHARMA INC.,25.78,10.46,25.69,26.46,25.68,1743211
ENTEGRIS INC.,111.45,2.34,109.57,111.8,109.01,1701898
NIKOLA CORP.,4.24,11.4,4.28,4.3,4.15,1686740
QXO INC.,15.95,2.31,15.7,16.12,15.39,1678517
BLUE STAR FOODS,0.4821,11.41,0.4625,0.57,0.4524,1671560
TRAVERE THERAPEUTICS INC.,17.44,6.28,16.46,17.49,16.17,1669048
CITIUS PHARMACEUTICALS INC.,0.3555,13.19,0.365,0.3678,0.335,1661148
